isbn,title,author,image_url,amazon_url,has_kindle,is_unlimited,is_prime_reading,has_audible,is_audible,updated_at,category,hp_anchor
9784478001547,ボロ物件でも高利回り激安アパート経営 : 入居率95%を誇る非常識なノウハウ : 借金不要,"加藤,ひろゆき",https://m.media-amazon.com/images/I/71qZx-fUChL._SY342_.jpg,https://www.amazon.co.jp/dp/B0081MA1EE,True,False,False,False,False,2026-05-01 15:52:29,不動産投資,
9784341085742,働かずに年収333万円を手に入れて「幸せ」に暮らそう! : 0からヤフオクで軍資金をつくり、不動産投資で無理なく稼ぐ,,https://cover.openbd.jp/9784341085742.jpg,https://www.amazon.co.jp/dp/4341085743,False,False,False,False,False,2026-05-01 15:52:47,不動産投資,i-16
9784478023600,タイトル未取得,著者不明,https://m.media-amazon.com/images/I/71EAkhprLsL._SY342_.jpg,https://www.amazon.co.jp/dp/B00AMX1ADQ,True,False,False,False,False,2026-05-01 15:53:05,不動産投資,i-16
9784344412736,哲学,"島田,紳助,1956- 松本,人志,1963-",https://m.media-amazon.com/images/I/71sLQ1uY84L._SY342_.jpg,https://www.amazon.co.jp/dp/4344412737,False,False,False,False,False,2026-05-01 15:53:21,哲学・考え方,i-18
9784799312629,あした死ぬかもよ? : 人生最後の日に笑って死ねる27の質問,"ひすい,こたろう",https://m.media-amazon.com/images/I/81lI-Fm37qL._SY342_.jpg,https://www.amazon.co.jp/dp/B00AZWTGFI,True,True,False,True,False,2026-05-01 15:53:35,哲学・考え方,
9784022737823,人生の結論,"小池,一夫,1936-2019",https://m.media-amazon.com/images/I/71KqpkXKQTL._SY342_.jpg,https://www.amazon.co.jp/dp/B07G8Z8PT7,True,False,False,True,False,2026-05-01 15:53:49,哲学・考え方,
9784478102480,幸福の「資本」論 = Capital theory of Happiness : あなたの未来を決める「3つの資本」と「8つの人生パターン」,"橘,玲,1959-",https://m.media-amazon.com/images/I/91m5vXP4d-L._SY342_.jpg,https://www.amazon.co.jp/dp/B072FNR1DS,True,False,False,True,False,2026-05-01 15:54:02,哲学・考え方,i-18
9784837957461,GIVE & TAKE「与える人」こそ成功する時代,"Grant,AdamM.,1981- 楠木,建,1964-",https://m.media-amazon.com/images/I/71QTFdzL8PL._SY342_.jpg,https://www.amazon.co.jp/dp/B00IRV39FM,True,False,False,True,False,2026-05-01 15:54:15,哲学・考え方,i-18
9784822289607,FACTFULNESS : 10の思い込みを乗り越え、データを基に世界を正しく見る習慣,"Rosling,Hans,1948-2017 Rosling,Ola,1975- Rönnlund,AnnaRosling,1975- ほか",https://m.media-amazon.com/images/I/71G+bOy00yL._SY342_.jpg,https://www.amazon.co.jp/dp/B07LG7TG5N,True,False,False,True,False,2026-05-01 15:54:30,哲学・考え方,i-18
9784778315306,年収90万円で東京ハッピーライフ,"大原,扁理,1985-",https://m.media-amazon.com/images/I/81YpbKpA7RL._SY342_.jpg,https://www.amazon.co.jp/dp/B01MPXWKKV,True,False,False,False,False,2026-05-01 15:54:47,哲学・考え方,i-18
9784484222028,いつか家族でやりたい99の楽しいことリスト,むぴー,https://m.media-amazon.com/images/I/81Ys5qh-VEL._SY342_.jpg,https://www.amazon.co.jp/dp/B09QPQ4PPV,True,False,False,False,False,2026-05-01 15:55:03,哲学・考え方,i-18
9784065170120,論語と算盤 : 漫画版,"渋沢,栄一,1840-1931 近藤,崇",https://m.media-amazon.com/images/I/91b6W-I4IgL._SY342_.jpg,https://www.amazon.co.jp/dp/B07Y1WKGJ7,True,False,False,False,False,2026-05-01 15:55:20,哲学・考え方,i-18
9784815604233,お金の減らし方,"森,博嗣,1957-",https://m.media-amazon.com/images/I/81OuTHTNC4L._SY342_.jpg,https://www.amazon.co.jp/dp/B085VHBQQH,True,False,False,False,False,2026-05-01 15:55:35,哲学・考え方,i-18
9784334046552,お金の賢い減らし方 : 90歳までに使い切る,"大江,英樹,1952-",https://m.media-amazon.com/images/I/71hTjDYqUeL._SY342_.jpg,https://www.amazon.co.jp/dp/B0BXL8P4SC,True,False,False,True,False,2026-05-01 15:55:47,哲学・考え方,
9784863940390,完訳7つの習慣 : 人格主義の回復,"Covey,StephenR.,1932-2012 フランクリンコヴィージャパン株式会社",https://m.media-amazon.com/images/I/71Lok30IH+L._SY342_.jpg,https://www.amazon.co.jp/dp/4863940394,False,False,False,False,False,2026-05-01 15:56:04,哲学・考え方,
9784408395821,タイトル未取得,著者不明,https://m.media-amazon.com/images/I/71cK0wN7OTL._SY342_.jpg,https://www.amazon.co.jp/dp/440839582X,True,True,False,True,False,2026-05-01 15:56:19,哲学・考え方,
9784087860115,ユダヤ人の成功哲学「タルムード」金言集,"石角,完爾,1947-",https://m.media-amazon.com/images/I/71cvcZRiDQL._SY342_.jpg,https://www.amazon.co.jp/dp/B07MR4BC4P,True,False,False,True,False,2026-05-01 15:56:31,哲学・考え方,i-18
9784106106637,言ってはいけない : 残酷すぎる真実,"橘,玲,1959-",https://m.media-amazon.com/images/I/81etMxWUE8L._SY342_.jpg,https://www.amazon.co.jp/dp/B01E6JQBD0,True,False,False,True,False,2026-05-01 15:57:00,哲学・考え方,i-18
9784866514970,夢をかなえるゾウ. 0,"水野,敬也,1976-",https://m.media-amazon.com/images/I/91zwPjoxUCL._SY342_.jpg,https://www.amazon.co.jp/dp/B09YLR221Z,True,False,False,True,False,2026-05-01 15:57:15,哲学・考え方,i-18
9784492534328,超訳ライフシフト : 100年時代の人生戦略,"Gratton,Lynda,1955- Scott,Andrew,1965-",https://m.media-amazon.com/images/I/71s5ds3vPbL._SY342_.jpg,https://www.amazon.co.jp/dp/B08H4YF7J5,True,False,False,True,False,2026-05-01 15:57:30,哲学・考え方,
9784492534434,LIFE SHIFT 2,"Scott,Andrew,1965- Gratton,Lynda,1955- 池村,千秋,1971-",https://m.media-amazon.com/images/I/71awMbFoA7L._SY342_.jpg,https://www.amazon.co.jp/dp/B09DYKL11B,True,False,False,True,False,2026-05-01 15:57:44,哲学・考え方,i-18
9784763139795,シリコンバレー最重要思想家ナヴァル・ラヴィカント,"Jorgenson,Eric(EricC.),1971- 櫻井,祐子,1965-",https://m.media-amazon.com/images/I/712-8zrDL7L._SY342_.jpg,https://www.amazon.co.jp/dp/B0BB6G7H8D,True,False,False,False,False,2026-05-01 15:58:02,哲学・考え方,
9784091434982,SF・異色短編. 4,"藤子,不二雄F,1933-1996",https://m.media-amazon.com/images/I/91lETxn60KL._SY342_.jpg,https://www.amazon.co.jp/dp/B09JKH2RLK,True,False,False,False,False,2026-05-01 15:58:18,哲学・考え方,
9784197735815,風の谷のナウシカ 1,,https://m.media-amazon.com/images/I/81B4EKskjkL._SY342_.jpg,https://www.amazon.co.jp/dp/4197735812,False,False,False,False,False,2026-05-01 15:58:37,哲学・考え方,
9784022140227,タイトル未取得,著者不明,https://m.media-amazon.com/images/I/51uS-wJ1oiL._SY342_.jpg,https://www.amazon.co.jp/dp/4022140224,True,False,False,False,False,2026-05-01 15:58:53,哲学・考え方,
9784267870040,新装版ブッダ（全１４巻セット）,手塚治虫／著,https://m.media-amazon.com/images/I/91WEQQoSQVL._SX445_.jpg,https://www.amazon.co.jp/dp/4267870047,False,False,False,False,False,2026-05-01 15:59:10,哲学・考え方,i-18
9784091439079,タイトル未取得,著者不明,https://m.media-amazon.com/images/I/61IuspJcl7L._SY342_.jpg,https://www.amazon.co.jp/dp/4091439071,False,False,False,False,False,2026-05-01 15:59:28,哲学・考え方,i-18
9784761270438,エッセンシャル思考 : 最少の時間で成果を最大にする,"McKeown,Greg 高橋,璃子,1979-",https://m.media-amazon.com/images/I/71VWUkfQyqL._SY342_.jpg,https://www.amazon.co.jp/dp/B00QQKCV6E,True,False,False,True,False,2026-05-01 15:59:41,時間,i-19
9784761275815,エフォートレス思考 : 努力を最小化して成果を最大化する,"McKeown,Greg 高橋,璃子,1979-",https://m.media-amazon.com/images/I/81o0trQNzIL._SY342_.jpg,https://www.amazon.co.jp/dp/B09L4KPJWT,True,False,False,True,False,2026-05-01 15:59:54,時間,i-19
9784894514652,非常識な成功法則 : お金と自由をもたらす8つの習慣,"神田,昌典",https://m.media-amazon.com/images/I/81rgj+E82+L._SY342_.jpg,https://www.amazon.co.jp/dp/B00MY68D9S,True,False,False,True,False,2026-05-01 16:00:07,時間,i-19
9784761276157,限りある時間の使い方,"Burkeman,Oliver,1975- 高橋,璃子,1979-",https://books.google.com/books/content?id=isw4zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B0B3MJNC7N,True,False,False,True,False,2026-05-01 16:00:23,時間,i-19
9784594085315,未亡人26年生が教える心地よいひとり暮らし : 仙人気分で、楽しい毎日。,"りっつん,1957-",https://m.media-amazon.com/images/I/81moBuUAcnL._SY342_.jpg,https://www.amazon.co.jp/dp/B08GCF954B,True,True,False,False,False,2026-05-01 16:00:41,人間関係,i-20
9784865811643,幸福のための人間のレベル論 : 「気づいた」人から幸せになれる!,"藤本,シゲユキ,1975-",https://books.google.com/books/content?id=4k2PuwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B07PGLWWRM,True,False,False,False,False,2026-05-01 16:00:58,人間関係,
9784492046241,世界一シンプルで科学的に証明された究極の食事 = The Best Diet:Simple and Evidence-based Guide to Healthy Eating,"津川,友介",https://books.google.com/books/content?id=XuRUDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.amazon.co.jp/dp/B07BNFS5PP,True,False,False,True,False,2026-05-01 16:01:12,健康,
9784478106891,世界中の医学研究を徹底的に比較してわかった最高のがん治療 = The Best Cancer Treatments Based on Scientific Evidence from Latest Research,"津川,友介 勝俣,範之,1963- 大須賀,覚",https://books.google.com/books/content?id=fqeNzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B085Q36PBR,True,False,False,True,False,2026-05-01 16:01:27,健康,i-21
9784087717792,HEALTH RULES : 病気のリスクを劇的に下げる健康習慣,"津川,友介",https://books.google.com/books/content?id=CSu9zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/4087717798,False,False,False,False,False,2026-05-01 16:01:42,健康,i-21
9784594082727,転職と副業のかけ算 : 生涯年収を最大化する生き方,"moto,1987-",https://books.google.com/books/content?id=a-gjyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B07VC49YQH,True,False,False,True,False,2026-05-01 16:01:55,転職,i-22
9784569841007,働き方2.0vs4.0 : 不条理な会社人生から自由になれる,"橘,玲,1959-",https://books.google.com/books/content?id=hTnDwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B07PTY45RH,True,True,False,False,False,2026-05-01 16:02:12,転職,i-22
9784478113899,転職が僕らを助けてくれる = We have a weapon named JOB CHANGE. : 新卒で入れなかったあの会社に入社する方法,"山下,良輔,1989-",https://books.google.com/books/content?id=2AOxzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B09K73Z94S,True,False,False,True,False,2026-05-01 16:02:26,転職,i-22
9784799330401,ビジネスを育てる : いつの時代も変わらない起業と経営の本質,"Hawken,Paul 阪本,啓一,1958-",https://books.google.com/books/content?id=fZS20AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B0CXLKKK9L,True,True,False,True,False,2026-05-01 16:02:40,経営,i-23
9784893469410,奇跡の経営 : 一週間毎日が週末発想のススメ,"Semler,Ricardo,1959- 岩元,貴久",https://m.media-amazon.com/images/I/81LTH96zxyL._SY342_.jpg,https://www.amazon.co.jp/dp/489346941X,False,False,False,False,False,2026-05-01 16:02:58,経営,i-23
9784152094339,強いチームはオフィスを捨てる : 37シグナルズが考える「働き方革命」,"Fried,Jason Hansson,DavidHeinemeier 高橋,璃子,1979-",https://books.google.com/books/content?id=q1DXnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B00JFLJ13W,True,False,False,False,False,2026-05-01 16:03:13,経営,
9784798152431,ジョイ・インク 役職も部署もない全員主役のマネジメント【無料お試し版】【固定レイアウト版】,リチャード・シェリダン,https://books.google.com/books/content?id=0MIWDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.amazon.co.jp/dp/B06WCZHR9S,True,False,False,False,False,2026-05-01 16:03:30,,
9784297103583,管理ゼロで成果はあがる : 「見直す・なくす・やめる」で組織を変えよう,"倉貫,義人",https://books.google.com/books/content?id=voUMwQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B07MSDRMM6,True,False,False,False,False,2026-05-01 16:03:48,経営,
9784479792727,タイトル未取得,著者不明,https://books.google.com/books/content?id=yzd8QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/4479792724,False,False,False,False,False,2026-05-01 16:04:09,経営,i-23
9784861136337,いい会社をつくりましょう,塚越寛,https://books.google.com/books/content?id=LK8enwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/4861136334,False,False,False,False,False,2026-05-01 16:04:27,経営,i-23
9784827206814,日本一社員がしあわせな会社のヘンな“きまり”,山田昭男,https://books.google.com/books/content?id=0H6rpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/4827206813,False,False,False,False,False,2026-05-01 16:04:45,経営,
9784844373155,自分がいなくてもうまくいく仕組み : これからのチームマネジメントを再定義する本,"山本,敏行",https://books.google.com/books/content?id=TDWhnAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B00E3786V6,True,True,False,False,False,2026-05-01 16:05:02,経営,
9784860636517,日本でいちばん大切にしたい会社 4,"坂本,光司,1947-",https://m.media-amazon.com/images/I/71fVtl57IjL._SY342_.jpg,https://www.amazon.co.jp/dp/4860636511,True,True,False,False,False,2026-05-01 16:05:19,経営,
9784909044228,売上を、減らそう。 : たどりついたのは業績至上主義からの解放 : ・営業わずか3時間半・どんなに売れても100食限定・飲食店でも残業ゼロ,"中村,朱美,pub.2019",https://books.google.com/books/content?id=6maPxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B07SGWHDCT,True,False,False,True,False,2026-05-01 16:05:33,経営,
9784778315504,ただめしを食べさせる食堂が今日も黒字の理由,"小林,せかい",https://books.google.com/books/content?id=yWj_MAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.amazon.co.jp/dp/B01N0ZT2MW,True,False,False,False,False,2026-05-01 16:05:49,経営,
